"Tytuł","Opis","Cena","Producent","Ocena","Liczba_opinii","Skład","Stopień_palenia","Zawartość_kofeiny","Rodzaj","Palarnia","Przeznaczenie","Opakowanie","Sposób_przygotowania","Crema","Wyczuwalne_smaki","Intensywność_smaku","Gorycz","Kwasowość","Słodycz","Pochodzenie_ziaren","Blend_czy_Single","Polecana_do","Kawa_Specialty","Waga_g","Cena_za_gram","Przedział_cenowy","Skorygowana_ocena"
"Kawa ziarnista MK Cafe Premium 2x1kg","Unikalna mieszanka arabiki i robusty z Brazylii i Kolumbii przeznaczona do ekspresów ciśnieniowych. MK Cafe Premium posiada subtelnie słodki smak z nutami ciemnej czekolady, prażonych migdałów i skórki pomarańczowej.",108.88,"MK CAFE",4.86,22," Arabika, Robusta"," Średni"," Średnia"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 2000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Ciemna czekolada Prażone migdały Skórka pomarańczy",0.6,0.2,0.2,1," Ameryka Południowa"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",2000,0.05444,"Mid-range (0.05 - 0.1)",22.7954205927419
"Kawa ziarnista MK Cafe Crema 2x1kg","Mieszanka arabiki z Ameryki Południowej i azjatyckiej robusty przeznaczona do ciśnieniowych metod parzenia. MK Cafe Crema posiada wyrazisty smak z nutami miodu, prażonych migdałów i karmelu.",102.94,"MK CAFE",4.91,23," Arabika, Robusta"," Średni"," Średnia"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 2000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Miód Prażone migdały Karmel",0.6,0.2,0.2,1," Ameryka Południowa Azja"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",2000,0.05147,"Mid-range (0.05 - 0.1)",23.5475327794655
"Kawa ziarnista MK Cafe Premium 1kg","Unikalna mieszanka arabiki i robusty z Brazylii i Kolumbii przeznaczona do ekspresów ciśnieniowych. MK Cafe Premium posiada subtelnie słodki smak z nutami ciemnej czekolady, prażonych migdałów i skórki pomarańczowej.",54.99,"MK CAFE",4.95,43," Arabika, Robusta"," Średni"," Średnia"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Ciemna czekolada Prażone migdały Skórka pomarańczy",0.6,0.2,0.2,1," Ameryka Południowa"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.05499,"Mid-range (0.05 - 0.1)",32.4593206952949
"Kawa ziarnista MK Cafe Crema 1kg","Mieszanka arabiki z Ameryki Południowej i azjatyckiej robusty przeznaczona do ciśnieniowych metod parzenia. MK Cafe Crema posiada wyrazisty smak z nutami miodu, prażonych migdałów i karmelu.",51.99,"MK CAFE",4.96,50," Arabika, Robusta"," Średni"," Średnia"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Miód Prażone migdały Karmel",0.6,0.2,0.2,1," Ameryka Południowa Azja"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.05199,"Mid-range (0.05 - 0.1)",35.0724963468528
"Zestaw kaw ziarnistych Wysocki Coffee More & Less Robusta Kick 2x250g","Zestaw dwóch średnio palonych mieszanek brazylijskiej arabiki i rwandyjskiej robusty. Obie kawy z zestawu Wysocki Coffee przeznaczone są do ekspresów ciśnieniowych.",84,"WYSOCKI COFFEE",0,0," 60% Arabika, 40% Robusta 80% Arabika, 20% Robusta"," Średni"," Średnia"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała",NA,NA,NA,NA,NA," Brazylia Rwanda"," Blend / Mieszanki"," Espresso Kawa czarna",NA,500,0.168,"Premium (0.1 - 0.2)",0
"Kawa ziarnista Wysocki Coffee Midday Chill 250g","Średnio palona mieszanka brazylijskiej i gwatemalskiej arabiki przeznaczona do ekspresów ciśnieniowych. Wysocki Midday Chill posiada słodki smak z nutami syropu klonowego i orzechów.",47.99,"WYSOCKI COFFEE",3,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Skórka pomarańczy Syrop klonowy Orzechy",0.6,0.2,0.6,1," Brazylia Gwatemala"," Blend / Mieszanki"," Espresso Kawa czarna"," Tak",250,0.19196,"Premium (0.1 - 0.2)",4.24264068711929
"Kawa ziarnista Wysocki Coffee Less Robusta Kick 250g","Średnio palona mieszanka brazylijskiej arabiki i rwandyjskiej robusty w proporcjach 80/20 przeznaczona do ekspresów ciśnieniowych. Wysocki Less Robusta Kick posiada intensywny smak o wyraźnej słodyczy.",44.99,"WYSOCKI COFFEE",5,2," 80% Arabika, 20% Robusta"," Średni"," Średnia"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Ciemna czekolada Orzechy Suszona śliwka",1,0.2,0.2,1," Brazylia Rwanda"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",250,0.17996,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista Wysocki Coffee More Robusta Kick 250g","Średnio palona mieszanka brazylijskiej arabiki (60%) i rwandyjskiej robusty (40%) przeznaczona do ekspresów ciśnieniowych. Wysocki More Robusta Kick posiada intensywny słodki smak o niskiej kwasowości.",44.99,"WYSOCKI COFFEE",4.6,5," 60% Arabika, 40% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Kakao Migdały Orzechy Suszona śliwka Wanilia Liść tytoniu",1,0.6,0.2,1," Brazylia Rwanda"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",250,0.17996,"Premium (0.1 - 0.2)",10.285912696499
"Kawa ziarnista HAYB Sie Przelewa Tropik 1kg","Jasno palona kolumbijska arabika przeznaczona do przelewowych metod parzenia. HAYBY Sie Przelewa Tropik posiada słodki smak z nutami owoców tropikalnych, rumu i karmelu.",175,"HAYB SPECIALITY COFFEE",5,5," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 1000g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Owoce tropikalne Rum Karmel",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Kawa czarna",NA,1000,0.175,"Premium (0.1 - 0.2)",11.1803398874989
"Kawa ziarnista Kawuszka Brazylia Microlot Anaerobic Guariroba - Espresso 250g","Średnio palona brazylijska arabika jakości Specialty przeznaczona do ciśnieniowych metod parzenia. Kawuszka Brazylia Microlot Anaerobic Guariroba posiada wyjątkowo słodki smak bez nadmiernej kwasowości.",69.99,"KAWUSZKA",5,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Karmel Kakao Czekolada",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",250,0.27996,"Luxury (> 0.2)",7.07106781186548
"Kawa ziarnista Kawuszka Brazylia Microlot Anaerobic Guariroba - Filtr 250g","Jasno palona brazylijska arabika jakości Specialty przeznaczona do przelewowych metod parzenia. Kawuszka Brazylia Microlot Anaerobic Guariroba posiada wyjątkowo słodki smak bez nadmiernej kwasowości.",69.99,"KAWUSZKA",4.8,5," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Granat Truskawki Czekolada Trzcina cukrowa Kakao Karmel",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.27996,"Luxury (> 0.2)",10.733126291999
"KOLEKCJA Ceramiczny Drip Hario V60-02 + HAYB Konesso Filter Blend 250g","Zestaw zawierający zaparzacz do kawy drip Hario V60-02 i kawę ziarnistą HAYB Konesso Filter Blend 250g. To Ty wybierasz, jaki kolor dripa znajdzie się w zestawie.",86.43,"HAYB SPECIALITY COFFEE",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Limonka Czerwona porzeczka Czarna herbata",0.6,0.2,0.6,1," Etiopia"," Single / Jednorodne"," Kawa czarna",NA,250,0.34572,"Luxury (> 0.2)",0
"KOLEKCJA Chemex + Kawa ziarnista HAYB Konesso Filter Blend 250g","Zestaw zawierający zaparzacz do kawy Chemex i kawę ziarnistą HAYB Konesso Filter Blend 250g. To Ty wybierasz, jaki Chemex znajdzie się w zestawie.",202.33,"HAYB SPECIALITY COFFEE",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Czekolada Czerwone owoce Żółte owoce",0.6,0.2,0.2,1," Brazylia Etiopia"," Blend / Mieszanki"," Kawa czarna",NA,250,0.80932,"Luxury (> 0.2)",0
"Kawa ziarnista Dobra BARDZO - Kompozycja Ziaren 1kg","Mieszanka ziaren arabiki z Brazylii i Gwatemali wypalona pod espresso. Dobra Bardzo - Kompozycja Ziaren posiada delikatnie słodki smak z nutami migdałów i orzechów laskowych.",130,"DOBRA PALARNIA KAWY",5,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Ciemna czekolada Orzechy",0.6,0.2,0.2,1," Brazylia Gwatemala"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",1000,0.13,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista Dobra BARDZO - Kompozycja Ziaren 250g","Mieszanka ziaren arabiki z Brazylii i Gwatemali wypalona pod espresso. Dobra Bardzo - Kompozycja Ziaren posiada delikatnie słodki smak z nutami migdałów i orzechów laskowych.",35,"DOBRA PALARNIA KAWY",4.8,15," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Migdały Orzechy",0.6,0.2,0.2,1," Brazylia Gwatemala"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",250,0.14,"Premium (0.1 - 0.2)",18.5903200617956
"Kawa ziarnista Dobra Brazylia Espresso 1kg","Brazylijska arabika Single Origin przeznaczona do ciśnieniowych metod parzenia. Dobra Brazylia Espresso posiada delikatnie słodki smak z wyczuwalną nutą ciemnej czekolady i orzechów.",120,"DOBRA PALARNIA KAWY",5,8," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Ciemna czekolada Orzechy",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",1000,0.12,"Premium (0.1 - 0.2)",14.142135623731
"Kawa ziarnista Dobra Brazylia Espresso 250g","Brazylijska arabika Single Origin przeznaczona do ciśnieniowych metod parzenia. Dobra Brazylia Espresso posiada delikatnie słodki smak z wyczuwalną nutą ciemnej czekolady i orzechów.",33,"DOBRA PALARNIA KAWY",5,4," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Ciemna czekolada Orzechy",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",250,0.132,"Premium (0.1 - 0.2)",10
"Kawa ziarnista Dobra Brazylia Omniroast 1kg","Brazylijska arabika Single Origin, która jest przeznaczona do przelewowych i ciśnieniowych metod parzenia. Dobra Brazylia Omniroast posiada słodki smak z nutami wanilii, marcepanu i żurawiny.",120,"DOBRA PALARNIA KAWY",5,10," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do alternatyw Do domu Do ekspresu kolbowego Do ekspresu automatycznego"," 1000g"," Aeropress Chemex Dripper Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy"," Trwała"," Marcepan Wanilia Żurawina",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",1000,0.12,"Premium (0.1 - 0.2)",15.8113883008419
"Kawa ziarnista Dobra Brazylia Omniroast 250g","Brazylijska arabika Single Origin, która jest przeznaczona do przelewowych i ciśnieniowych metod parzenia. Dobra Brazylia Omniroast posiada słodki smak z nutami wanilii, marcepanu i żurawiny.",33,"DOBRA PALARNIA KAWY",4.94,16," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do alternatyw Do domu Do ekspresu kolbowego Do ekspresu automatycznego"," 250g"," Aeropress Chemex Dripper Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy"," Trwała"," Marcepan Wanilia Żurawina",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",250,0.132,"Premium (0.1 - 0.2)",19.76
"Kawa ziarnista Kafar Brazylia Monte Carmelo 250g","Średnio palona brazylijska arabika Single Origin wypalona pod espresso. Kafar Brazylia Monte Carmelo posiada wyrazisty smak z nutami czekolady deserowej, toffi i suszonych owoców.",35,"KAFAR",4.84,19," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Toffi Suszone owoce Czekolada",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",250,0.14,"Premium (0.1 - 0.2)",21.0970708867369
"Kawa ziarnista Qualia Bello 250g","Średnio palona mieszanka arabiki przeznaczona do ciśnieniowych metod parzenia. Qualia Bello posiada wyrazisty smak z nutami gorzkiej czekolady, orzecha włoskiego i karmelu.",32,"QUALIA",4.5,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Gorzka czekolada Orzechy Karmel",1,0.2,0.2,0.6," Brazylia Kolumbia Honduras"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",250,0.128,"Premium (0.1 - 0.2)",6.36396103067893
"Kawa ziarnista Qualia Bello 1kg","Średnio palona mieszanka arabiki przeznaczona do ciśnieniowych metod parzenia. Qualia Bello posiada wyrazisty smak z nutami gorzkiej czekolady, orzecha włoskiego i karmelu.",115,"QUALIA",5,1," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Gorzka czekolada Orzechy Karmel",1,0.2,0.2,0.6," Brazylia Kolumbia Honduras"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",1000,0.115,"Premium (0.1 - 0.2)",5
"Kawa ziarnista Qualia XU-XU 250 g","Średnio palona 100% arabika z Brazylii przeznaczona do ciśnieniowych metod parzenia. Qualia XU-XU posiada intensywny smak, w którym wyczujemy ciasto cytrynowe i mleczną czekoladę.",28,"QUALIA",4.6,5," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Mleczna czekolada Cytryna",1,0.2,0.6,1," Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",250,0.112,"Premium (0.1 - 0.2)",10.285912696499
"Kawa ziarnista Qualia XU-XU 1kg","Średnio palona 100% arabika z Brazylii przeznaczona do ciśnieniowych metod parzenia. Qualia XU-XU posiada intensywny smak, w którym wyczujemy ciasto cytrynowe i mleczną czekoladę.",99,"QUALIA",5,3," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Mleczna czekolada Cytryna",1,0.2,0.6,1," Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",1000,0.099,"Mid-range (0.05 - 0.1)",8.66025403784439
"Kawa ziarnista Qualia XU-XU Dark 250g","Ciemno palona brazylijska arabika przeznaczona do ciśnieniowych metod parzenia. Qualia XU-XU Dark posiada intensywny smak z wyczuwalną nutą gorzkiej czekolady i marcepanu.",27,"QUALIA",4.2,5," 100% Arabika"," Ciemny"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Gorzka czekolada Marcepan",1,0.2,0.2,0.6," Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",250,0.108,"Premium (0.1 - 0.2)",9.39148550549912
"Kawa ziarnista Qualia XU-XU Dark 1kg","Ciemno palona brazylijska arabika przeznaczona do ciśnieniowych metod parzenia. Qualia XU-XU Dark posiada intensywny smak z wyczuwalną nutą gorzkiej czekolady i marcepanu.",99,"QUALIA",5,2," 100% Arabika"," Ciemny"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Gorzka czekolada Marcepan",1,0.2,0.2,0.6," Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",1000,0.099,"Mid-range (0.05 - 0.1)",7.07106781186548
"Kawa ziarnista COFFEE PLANT Kolumbia Finca Los Robles 250g","Średnio palona kolumbijska arabika jakości specialty, która jest przeznaczona do ciśnieniowych metod parzenia. COFFEE PLANT Kolumbia Finca Los Robles posiada słodki smak z nutami mlecznej czekolady i czereśni.",38,"COFFEE PLANT",4.55,11," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Czereśnie Mleczna czekolada",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",250,0.152,"Premium (0.1 - 0.2)",15.0906427961171
"Kawa ziarnista COFFEE PLANT Kolumbia Finca Los Robles 1kg","Średnio palona kolumbijska arabika jakości specialty, która jest przeznaczona do ciśnieniowych metod parzenia. COFFEE PLANT Kolumbia Finca Los Robles posiada słodki smak i wyrazistą kwasowość z nutami mlecznej czekolady i czereśni.",138,"COFFEE PLANT",5,6," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Mleczna czekolada Czereśnie",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",1000,0.138,"Premium (0.1 - 0.2)",12.2474487139159
"Kawa ziarnista Craft Bonzo 1kg","Najwyższej jakości mieszanka ziaren arabiki, która jest przeznaczona do przygotowania espresso i kaw mlecznych. Craft Bonzo posiada przyjemnie słodki smak z wyczuwalną nutą czekolady, orzechów i kakao.",99,"CRAFT COFFEE ROASTERS",5,4," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Orzechy Owoce Czekolada",0.6,0.2,0.2,1," Brazylia Honduras Etiopia"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.099,"Mid-range (0.05 - 0.1)",10
"Kawa ziarnista Craft Bonzo 250g","Najwyższej jakości mieszanka ziaren arabiki, która jest przeznaczona do przygotowania espresso i kaw mlecznych. Craft Bonzo posiada przyjemnie słodki smak z wyczuwalną nutą czekolady, orzechów i kakao.",29,"CRAFT COFFEE ROASTERS",5,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Orzechy Owoce Czekolada",0.6,0.2,0.2,1," Brazylia Honduras Etiopia"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",250,0.116,"Premium (0.1 - 0.2)",7.07106781186548
